Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr)),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Functional Strength Training,2022-08-30 14:11:00,2022-08-30 14:30,00:19:06,145.54,96.6,132,109.17,0.0,0.0,30,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-30 13:27:00,2022-08-30 14:00,00:32:52,155.94,106.41,139,94.55,0.0,0.0,114,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-30 09:30:00,2022-08-30 09:58,00:27:51,159.01,96.95,91,82.52,1.4,3.02,2579,0,0.0,0.0,0.0,6.56,0
Tennis,2022-08-29 16:51:00,2022-08-29 18:02,01:11:49,784.08,654.28,175,144.41,2.41,2.02,3993,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-29 08:25:00,2022-08-29 09:21,00:55:38,348.61,245.08,122,90.68,3.15,3.4,6034,0,0.0,0.0,2.0,80.28,0
Walking,2022-08-28 15:15:00,2022-08-28 16:03,00:47:39,232.44,137.85,110,93.54,1.82,2.39,3344,0,0.0,0.0,1.0,23.46,0
Functional Strength Training,2022-08-26 13:51:00,2022-08-26 14:29,00:37:25,237.63,160.7,147,102.61,0.0,0.0,58,0,0.0,0.0,0.0,0.0,0
Jump Rope,2022-08-26 13:39:00,2022-08-26 13:49,00:10:02,102.6,87.12,148,132.16,0.677,4.05,1104,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-26 10:02:00,2022-08-26 10:39,00:37:05,131.27,77.03,122,67.29,1.05,3.08,1254,0,0.0,0.0,0.0,13.32,0
Walking,2022-08-25 08:40:00,2022-08-25 09:13,00:32:51,150.04,79.91,122,93.63,1.12,3.01,1834,0,0.0,0.0,1.0,17.09,0
Walking,2022-08-25 08:12:00,2022-08-25 08:31,00:18:59,97.41,68.22,104,93.15,0.986,3.12,948,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-24 19:02:00,2022-08-24 19:23,00:20:50,123.17,81.55,122,107.9,0.996,2.87,1897,0,0.0,0.0,1.0,0.0,0
Cycling,2022-08-24 17:35:00,2022-08-24 17:49,00:13:30,96.91,76.14,174,157.4,2.67,11.88,1163,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-24 17:12:00,2022-08-24 17:22,00:10:08,54.43,38.89,110,98.47,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-24 17:01:00,2022-08-24 17:11,00:10:01,52.15,36.8,138,96.49,0.0,0.0,123,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-24 08:39:00,2022-08-24 09:06,00:26:58,184.94,121.64,136,95.74,1.4,3.12,1847,0,0.0,0.0,6.0,86.25,0
Walking,2022-08-24 07:52:00,2022-08-24 08:11,00:18:49,128.7,81.35,109,92.8,0.986,3.14,1394,0,0.0,0.0,0.0,0.0,0
Cycling,2022-08-23 09:06:00,2022-08-23 09:51,00:45:01,442.19,352.59,147,136.27,0.0,0.0,40,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-23 08:34:00,2022-08-23 08:57,00:23:09,125.57,90.08,132,98.79,1.18,3.07,2301,0,0.0,0.0,6.0,80.45,0
Walking,2022-08-23 07:42:00,2022-08-23 08:03,00:20:28,122.77,73.84,101,88.15,1.0,2.94,1324,0,0.0,0.0,0.0,6.63,0
Other,2022-08-22 21:09:00,2022-08-22 21:44,00:35:01,125.85,59.61,123,107.69,0.0,0.0,51,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-22 20:05:00,2022-08-22 20:16,00:10:13,74.61,37.97,125,109.32,0.515,3.02,950,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2022-08-22 16:47:00,2022-08-22 17:20,00:32:27,385.78,314.86,179,137.02,0.0,0.0,674,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-22 10:36:00,2022-08-22 11:10,00:34:33,194.62,122.68,110,79.85,0.0,0.0,9,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-22 08:15:00,2022-08-22 08:35,00:19:42,129.94,79.2,126,95.48,1.0,3.06,2008,0,0.0,0.0,4.0,27.53,0
Functional Strength Training,2022-08-22 08:09:00,2022-08-22 08:15,00:05:18,44.54,36.35,132,128.58,0.0,0.0,67,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-22 07:11:00,2022-08-22 07:32,00:20:20,148.4,98.15,100,89.44,1.0,2.96,1032,0,0.0,0.0,0.0,0.0,0
Yoga,2022-08-21 19:49:00,2022-08-21 20:27,00:37:44,251.18,176.82,95,76.38,0.0,0.0,33,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-21 19:29:00,2022-08-21 19:43,00:13:48,83.22,54.34,111,82.87,0.0,0.0,32,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-21 13:59:00,2022-08-21 14:53,00:53:32,154.79,52.87,111,87.06,0.573,2.2,2368,0,0.0,0.0,2.0,19.85,0
Walking,2022-08-17 19:01:00,2022-08-17 19:07,00:05:16,31.68,4.78,101,82.55,0.0,0.0,26,0,0.0,0.0,0.0,0.0,0
Walking,2022-08-15 05:56:00,2022-08-15 06:11,00:14:55,87.23,44.29,84,78.52,0.587,2.36,1225,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-12 14:57:00,2022-08-12 15:11,00:13:20,108.04,71.18,127,108.78,0.0,0.0,47,0,0.0,0.0,0.0,0.0,0
Traditional Strength Training,2022-08-12 14:24:00,2022-08-12 14:55,00:30:49,239.73,192.97,145,112.7,0.0,0.0,388,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-08-12 13:59:00,2022-08-12 14:09,00:10:12,68.49,52.88,118,98.36,0.0,0.0,17,0,0.0,0.0,0.0,0.0,0
