date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2019-06-15,69.0,64.0,49.0,96.0,88.0,81.0,86.0,22.0,23640.0,27120.0,3480.0,3690.0,13500.0,6450.0,38.0,87.0,600.0,12690.0,2019-06-15T02:11:58+02:00,2019-06-15T09:43:58+02:00,52.34,48.0,82.0,-0.45,-0.1,11.5,68,100,100,25,71,31,15.0,1943.0,339.0,294.0,4800.0,26220.0,840.0,60.0,0.0,54480.0,1.125,0.0,73.0,52,55,None,96,90.0,90.0,None,99.0
2019-06-16,67.0,64.0,27.0,98.0,88.0,86.0,86.0,20.0,23490.0,27180.0,3690.0,2160.0,13530.0,7800.0,28.0,86.0,600.0,12900.0,2019-06-16T02:17:47+02:00,2019-06-16T09:50:47+02:00,54.7,47.0,59.0,-0.11,-0.05,12.75,56,100,100,1,40,13,2.0,1907.0,49.0,15.0,4320.0,32640.0,120.0,0.0,0.0,49320.0,1.09375,0.0,66.0,48,53,None,100,100.0,97.0,None,31.0
2019-06-17,72.0,57.0,55.0,79.0,99.0,87.0,91.0,67.0,21690.0,23040.0,1350.0,4200.0,12450.0,5040.0,36.0,94.0,690.0,11610.0,2019-06-17T00:51:09+02:00,2019-06-17T07:15:09+02:00,63.67,59.0,31.0,0.1,0.16,12.75,51,100,100,1,1,3,9.0,1934.0,136.0,156.0,4380.0,24720.0,600.0,0.0,0.0,56700.0,1.125,0.0,44.0,58,49,None,100,96.0,1.0,None,59.0
2019-06-18,74.0,60.0,58.0,97.0,97.0,88.0,78.0,71.0,22590.0,24660.0,2070.0,4350.0,10890.0,7350.0,34.0,92.0,1380.0,12960.0,2019-06-18T00:20:54+02:00,2019-06-18T07:11:54+02:00,59.38,48.0,60.0,0.15,0.34,11.75,50,100,100,1,1,1,8.0,1844.0,230.0,96.0,11820.0,60960.0,540.0,0.0,0.0,13080.0,1.0,0.0,64.0,63,48,None,100,92.0,76.0,None,45.0
2019-06-19,79.0,63.0,58.0,100.0,96.0,92.0,75.0,100.0,23310.0,25560.0,2250.0,4350.0,8970.0,9990.0,28.0,91.0,360.0,12300.0,2019-06-18T22:38:52-05:00,2019-06-19T05:44:52-05:00,54.16,49.0,66.0,0.19,0.42,12.375,71,100,100,25,40,70,458.0,2409.0,1899.0,7275.0,3660.0,21480.0,1200.0,180.0,2280.0,57600.0,1.40625,0.0,69.0,73,47,49,100,88.0,76.0,None,94.0
2019-06-20,72.0,59.0,57.0,70.0,99.0,70.0,86.0,98.0,22230.0,23820.0,1590.0,4290.0,13470.0,4470.0,45.0,93.0,600.0,12030.0,2019-06-19T23:42:30-05:00,2019-06-20T06:19:30-05:00,56.5,52.0,51.0,-0.35,0.23,12.375,79,82,95,43,71,98,988.0,3119.0,10244.0,16616.0,30120.0,19380.0,13320.0,4320.0,2460.0,16800.0,1.8125,1.0,59.0,58,47,None,100,93.0,53.0,None,66.0
2019-06-21,72.0,69.0,89.0,59.0,100.0,75.0,78.0,42.0,24900.0,26040.0,1140.0,6720.0,14430.0,3750.0,40.0,96.0,420.0,13050.0,2019-06-21T01:18:08-05:00,2019-06-21T08:32:08-05:00,59.41,55.0,42.0,0.13,0.21,13.0,82,100,100,43,71,98,8.0,1931.0,141.0,158.0,4380.0,24720.0,480.0,0.0,0.0,56820.0,1.125,0.0,49.0,58,48,26,87,94.0,32.0,None,64.0
2019-06-22,63.0,55.0,61.0,47.0,99.0,74.0,81.0,44.0,21330.0,22620.0,1290.0,4590.0,13680.0,3060.0,46.0,94.0,480.0,11430.0,2019-06-22T01:40:04-05:00,2019-06-22T07:57:04-05:00,61.52,54.0,43.0,0.19,0.32,12.875,82,100,95,43,71,97,116.0,2032.0,1397.0,1807.0,13500.0,35160.0,1440.0,180.0,480.0,35640.0,1.15625,1.0,50.0,40,47,None,89,88.0,49.0,None,45.0
2019-06-23,86.0,92.0,97.0,91.0,100.0,83.0,75.0,54.0,30960.0,32460.0,1500.0,7800.0,17340.0,5820.0,35.0,95.0,330.0,16260.0,2019-06-23T00:00:08-05:00,2019-06-23T09:01:08-05:00,57.63,50.0,49.0,0.19,0.45,12.75,82,100,100,43,71,97,91.0,2001.0,1337.0,1509.0,1740.0,30480.0,120.0,420.0,360.0,53280.0,1.15625,0.0,71.0,87,56,None,92,89.0,72.0,None,54.0
2019-06-24,71.0,67.0,67.0,59.0,96.0,68.0,89.0,59.0,24480.0,26820.0,2340.0,5010.0,15690.0,3780.0,45.0,91.0,660.0,13680.0,2019-06-24T00:33:32-05:00,2019-06-24T08:00:32-05:00,58.01,49.0,49.0,0.08,0.42,13.25,82,100,100,43,71,96,99.0,2016.0,1039.0,1578.0,1080.0,27840.0,300.0,240.0,480.0,56460.0,1.15625,0.0,67.0,56,56,None,93,98.0,88.0,None,45.0
2019-06-25,86.0,87.0,97.0,96.0,100.0,86.0,75.0,57.0,29550.0,30300.0,750.0,7860.0,14880.0,6810.0,39.0,98.0,330.0,15120.0,2019-06-25T00:13:05-05:00,2019-06-25T08:38:05-05:00,52.63,49.0,65.0,-0.33,0.21,12.125,84,99,95,43,96,95,256.0,2250.0,2896.0,4140.0,22380.0,31800.0,5940.0,480.0,660.0,25140.0,1.28125,1.0,80.0,87,63,None,95,94.0,80.0,None,100.0
2019-06-26,88.0,100.0,100.0,99.0,100.0,83.0,72.0,37.0,34080.0,35460.0,1380.0,9510.0,16230.0,8340.0,41.0,96.0,270.0,17580.0,2019-06-26T00:11:23-05:00,2019-06-26T10:02:23-05:00,54.36,51.0,52.0,0.01,0.15,12.5,75,88,95,25,71,93,448.0,2566.0,9507.0,7465.0,27180.0,33660.0,21660.0,1260.0,480.0,2160.0,1.46875,1.0,76.0,91,73,46,95,100.0,65.0,None,100.0
2019-06-27,84.0,86.0,97.0,99.0,95.0,81.0,81.0,41.0,29430.0,32820.0,3390.0,7830.0,13020.0,8580.0,40.0,90.0,450.0,15480.0,2019-06-27T00:38:36-05:00,2019-06-27T09:45:36-05:00,53.75,49.0,57.0,-0.04,0.18,12.25,71,100,95,1,71,95,407.0,2439.0,8776.0,7484.0,15840.0,30420.0,9960.0,2340.0,480.0,27360.0,1.40625,1.0,84.0,83,77,73,86,100.0,89.0,None,100.0
2019-06-28,83.0,95.0,97.0,87.0,93.0,70.0,91.0,21.0,31920.0,35940.0,4020.0,7980.0,18360.0,5580.0,44.0,89.0,720.0,17280.0,2019-06-28T01:01:31-05:00,2019-06-28T11:00:31-05:00,52.5,48.0,60.0,-0.25,0.15,12.375,71,100,100,1,71,95,280.0,2283.0,5342.0,5132.0,11100.0,26220.0,8040.0,720.0,540.0,39780.0,1.3125,0.0,81.0,80,83,44,84,97.0,89.0,None,100.0
